food_id,nutrient_id,amount_in_food
9427,305,47
9002,305,9
9001,305,11
14006,305,12
14007,305,11
14013,305,8
14003,305,14
14004,305,13
14034,305,0
14009,305,2
14010,305,5
14533,305,4
14037,305,4
14550,305,4
14551,305,4
14532,305,4
14049,305,0
14050,305,5
14051,305,5
14052,305,3
14415,305,50
14414,305,6
14534,305,6
14015,305,36
14017,305,7
43479,305,6
14019,305,10
14027,305,6
14029,305,5
14025,305,4
43154,305,15
14536,305,9
14057,305,9
43155,305,15
14084,305,20
14096,305,23
14602,305,23
14106,305,18
14160,305,18
11001,305,70
20002,305,148
20001,305,557
11700,305,72
11004,305,72
11003,305,50
4609,305,0
9400,305,7
9517,305,9
9016,305,7
9018,305,7
9411,305,7
9410,305,25
9017,305,25
36000,305,202
36023,305,298
36005,305,305
36019,305,104
36021,305,23
36022,305,90
36001,305,271
36018,305,234
36002,305,137
36003,305,104
36004,305,307
9008,305,6
9007,305,5
9010,305,12
9009,305,55
9013,305,8
9012,305,9
9011,305,38
9015,305,8
9014,305,8
9504,305,13
9503,305,11
9501,305,10
9502,305,12
9500,305,12
9003,305,11
9004,305,11
9005,305,8
9006,305,8
9402,305,7
9020,305,6
9401,305,5
9019,305,5
9403,305,9
9036,305,9
9029,305,15
9025,305,12
9027,305,12
9028,305,13
9357,305,13
9024,305,20
9026,305,13
9022,305,13
9023,305,16
9031,305,62
9030,305,157
9034,305,38
9033,305,25
9032,305,71
9035,305,19
9021,305,23
11701,305,197
11006,305,197
11005,305,174
20003,305,5
11697,305,98
11702,305,73
11008,305,73
11703,305,61
11010,305,61
11009,305,58
11007,305,90
11959,305,52
11015,305,43
11707,305,38
11013,305,38
11012,305,54
11705,305,54
11709,305,49
11019,305,49
11018,305,64
11011,305,52
18984,305,175
18987,305,198
28258,305,139
18983,305,195
18985,305,116
18986,305,138
18990,305,117
28256,305,183
18988,305,190
28257,305,118
18989,305,119
9037,305,52
9038,305,54
9039,305,40
3964,305,247
42150,305,31
3167,305,8
3169,305,7
3289,305,34
3115,305,13
3997,305,127
42284,305,709
43550,305,9
42119,305,65
43546,305,20
3995,305,20
3301,305,3
3290,305,45
42316,305,21
3181,305,439
3681,305,110
42285,305,272
3201,305,50
3682,305,177
3211,305,539
3711,305,166
3185,305,392
3685,305,118
3188,305,29
3187,305,23
3186,305,367
3686,305,111
3704,305,184
3189,305,610
3689,305,160
3192,305,41
3191,305,41
3190,305,444
3690,305,111
3193,305,733
3693,305,198
43544,305,253
3194,305,590
3694,305,122
3195,305,12
3212,305,410
3712,305,109
3696,305,181
3210,305,21
3184,305,500
3198,305,40
3197,305,40
3199,305,46
3222,305,6
3206,305,189
3213,305,179
3214,305,116
3934,305,29
3209,305,198
43004,305,34
43539,305,28
43537,305,109
3225,305,7
3224,305,7
3246,305,55
3245,305,45
3221,305,7
3220,305,3
3236,305,8
3235,305,7
3226,305,28
3233,305,31
3228,305,6
3227,305,5
3230,305,5
3229,305,5
43536,305,27
3238,305,8
3297,305,32
3049,305,35
3043,305,40
3287,305,30
3047,305,38
3052,305,44
3055,305,24
3298,305,58
43373,305,42
43008,305,20
3069,305,79
3068,305,46
3070,305,24
3072,305,51
3090,305,59
3089,305,86
3045,305,44
3044,305,39
43432,305,49
3279,305,22
3278,305,24
3077,305,50
3304,305,108
3050,305,35
3051,305,45
3303,305,25
3083,305,37
3082,305,34
3296,305,63
3059,305,28
3054,305,33
3053,305,33
3274,305,32
3042,305,29
3041,305,28
3062,305,33
3061,305,33
3067,305,49
3066,305,49
3081,305,29
3079,305,25
3085,305,32
3084,305,44
3073,305,47
3076,305,33
3075,305,31
3154,305,17
3140,305,4
43585,305,9
3165,305,7
3164,305,8
3153,305,8
3152,305,8
3143,305,10
3142,305,9
3145,305,8
3144,305,8
3151,305,6
3150,305,6
3147,305,12
3117,305,6
3116,305,7
3128,305,10
3118,305,10
3994,305,24
3156,305,5
3157,305,5
3163,305,19
3280,305,9
3129,305,7
3160,305,6
3162,305,5
3131,305,15
3130,305,15
3159,305,10
3158,305,9
3133,305,12
3132,305,12
3135,305,6
3134,305,6
3137,305,15
3136,305,15
43007,305,28
43006,305,17
44074,305,11
42286,305,56
3093,305,22
3001,305,9
3166,305,5
43535,305,12
3268,305,6
3265,305,5
3168,305,4
3170,305,3
3171,305,15
42266,305,14
3269,305,8
3267,305,11
3179,305,5
3172,305,11
3173,305,7
3174,305,8
3175,305,12
3176,305,13
3177,305,9
42267,305,19
43408,305,12
3178,305,10
3048,305,81
3959,305,24
43417,305,37
3003,305,93
3002,305,93
3014,305,121
3013,305,90
3012,305,97
3009,305,89
3008,305,81
3011,305,91
3010,305,104
3021,305,103
3007,305,94
3017,305,120
3016,305,117
3015,305,117
3005,305,98
42120,305,60
43523,305,22
3996,305,500
3205,305,429
3161,305,17
3141,305,13
42279,305,52
3122,305,67
3293,305,32
