id,age_range,sex,nutrient_id,daily_value,upper_limit
206,4,F,312,0.9,10
207,4,F,303,8,45
208,4,F,304,320,10000
209,4,F,315,1.8,11
210,4,F,305,700,4000
211,4,F,309,8,40
212,4,F,306,4.7,10000
213,4,F,307,1300,2300
214,4,F,205,130,10000
215,4,F,291,21,10000
216,4,F,203,46,10000
217,4,F,204,0,10000
218,4,F,269,0,10000
219,4,F,262,0,400
220,5,M,320,900,3000
221,5,M,401,90,2000
222,5,M,328,15,50
223,5,M,323,15,1000
224,5,M,430,120,10000
225,5,M,415,1.7,100
226,5,M,578,2.4,10000
227,5,M,301,"1,200","2,500"
228,5,M,312,0.9,10
229,5,M,303,8,45
230,5,M,304,420,10000
231,5,M,315,2.3,11
232,5,M,305,700,3000
233,5,M,309,11,40
234,5,M,306,4.7,10000
235,5,M,307,1200,2300
236,5,M,205,130,10000
237,5,M,291,30,10000
238,5,M,203,56,10000
239,5,M,204,0,10000
240,5,M,269,0,10000
241,5,M,262,0,400
242,5,F,320,700,3000
243,5,F,401,75,2000
244,5,F,328,15,50
245,5,F,323,15,1000
246,5,F,430,90,10000
247,5,F,415,1.5,100
248,5,F,578,2.4,10000
249,5,F,301,"1,200","2,500"
250,5,F,312,0.9,10
251,5,F,303,8,45
252,5,F,304,320,10000
253,5,F,315,1.8,11
254,5,F,305,700,3000
255,5,F,309,8,40
256,5,F,306,4.7,10000
257,5,F,307,1200,2300
258,5,F,205,130,10000
259,5,F,291,21,10000
260,5,F,203,46,10000
261,5,F,204,0,10000
262,5,F,269,0,10000
263,5,F,262,0,400
